"","sex","age","desexed","purebred","gaze_follow","training_score","aggression_score","fear_score","separation_score","excitability_score","attachment_score","miscellaneous_score","ostensive","ostensive_binary","nonostensive","nonostensive_binary","os_best"
"285",1,14,1,1,4,2.375,0.296296296296296,0.5,1.33333333333333,1,2.83333333333333,0.739130434782609,0.625,1,0.5,0,0
"286",2,6.4,1,2,4,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.375,0,0
"287",2,3.5,2,1,3,2.71428571428571,0.0869565217391304,0.0555555555555556,0,1.33333333333333,2.33333333333333,0.56,0.25,0,0.625,1,1
"288",2,2,1,2,3,2.125,0.608695652173913,0.470588235294118,0.375,1.83333333333333,1.83333333333333,0.518518518518518,0.625,1,NA,NA,NA
"289",2,3.3,2,1,3,2.125,NA,NA,NA,NA,NA,NA,0.5,0,0.625,1,1
"290",2,6.4,1,2,4,2.625,0.217391304347826,0.294117647058824,0,2.16666666666667,0.333333333333333,1.2962962962963,0.5,0,0.5,0,0
"291",2,3.8,2,1,3,2.75,0.130434782608696,0.444444444444444,0,2.33333333333333,2.33333333333333,0.518518518518518,0.5,0,0.5,0,0
"292",2,2.2,1,1,3,2.25,0.555555555555556,1.52941176470588,1,4,2.66666666666667,1.14814814814815,0.875,1,0.875,1,0
"293",1,NA,1,2,4,2.125,0.259259259259259,0.666666666666667,0,1.16666666666667,0.5,0.592592592592593,0.5,0,0.375,0,0
"294",1,9.6,1,1,3,2.75,0.409090909090909,1.06666666666667,0.125,1.5,1.5,0.62962962962963,0.375,0,0.875,1,1
"295",1,5.5,2,2,3,2.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296",1,7.5,1,2,2,2.5,0.631578947368421,1.5625,0,1.33333333333333,3,1.42857142857143,0.5,0,0.5,0,0
"297",2,8.5,1,1,3,1.875,NA,NA,NA,NA,NA,NA,0.75,1,0.375,0,0
"298",1,1.2,2,1,4,2.57142857142857,0.695652173913043,1.55555555555556,0.5,1.66666666666667,2.33333333333333,1.34615384615385,NA,NA,NA,NA,NA
"299",2,3.1,1,2,4,2.5,1.2,0.611111111111111,0.375,3,1.16666666666667,1.2962962962963,0.25,0,0.25,0,0
"300",1,1.4,1,1,3,3.42857142857143,0,0.0588235294117647,0,1,0.833333333333333,0.407407407407407,0.5,0,0.5,0,0
"301",1,5.2,1,2,4,2.25,0.807692307692308,1.47058823529412,0,1.83333333333333,0.666666666666667,0.777777777777778,0.5,0,0.5,0,0
"302",1,11.9,1,1,3,2.125,NA,NA,NA,NA,NA,NA,0.5,0,0.75,1,1
"303",2,4.8,1,1,4,1.5,0.15,1.11111111111111,2.5,2,3.16666666666667,1.23076923076923,NA,NA,NA,NA,NA
"304",2,4.5,1,2,5,2.875,0.0952380952380952,0.411764705882353,0.125,1,1.16666666666667,0.739130434782609,0.5,0,1,1,1
"305",2,3,1,2,3,2.25,0.272727272727273,0.588235294117647,0,1.66666666666667,2,0.851851851851852,0.625,1,0.555555555555556,1,0
"306",2,2,1,2,4,2.875,0.904761904761905,0.764705882352941,0.75,2.33333333333333,1.66666666666667,2.14814814814815,0.5,0,0.5,0,0
"307",2,6.2,1,1,4,3,0.5,0.470588235294118,0,1.5,1.8,0.961538461538462,1,1,0.875,1,0
"308",2,8.3,1,2,3,2.5,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0,0
"309",1,1.7,1,2,3,2.75,NA,NA,NA,NA,NA,NA,1,1,0.625,1,0
