"","X.1","X","sex","age","desexed","purebred","gaze_follow","training_score","aggression_score","fear_score","separation_score","excitability_score","attachment_score","miscellaneous_score","ostensive","ostensive_binary","nonostensive","nonostensive_binary","os_best"
"254",254,254,2,-0.993532108733275,1,1,3,0.132044279473106,-1.20235848910932,-0.892772504022226,-0.797303570307237,-1.28076485606995,-0.524334174335461,-1.22703664910469,0.521274190562416,0,0,0,0
"255",255,255,2,-0.993532108733275,1,2,4,-0.206924488047299,-0.214279969954668,-0.149903356267159,-0.312636890616351,3.38314211834307e-15,2.69432402179323e-15,9.6715835206221e-16,0.5,0,0.5,0,0
"256",256,256,1,-1.02648756503502,2,2,4,0.325740718056191,-1.20235848910932,-1.55744489938202,-0.797303570307237,-1.53470348246181,-0.524334174335461,-1.84336941748017,0.5,0,0.375,0,0
"257",257,257,1,-1.02648756503502,2,2,3,0.809981814513917,-1.20235848910932,-1.02570698309419,-0.797303570307237,-1.02682622967811,-1.02992403519228,-1.50831603332974,0.333333333333333,0,0,0,0
"258",258,258,1,0.192864318129527,1,1,4,0.809981814513917,-0.131940093358449,-0.361034587734389,-0.554970230461794,-0.518948976894391,0.73964047780655,-0.0440086507463648,0.5,0,0.125,0,0
"259",259,259,2,2.7633899096656,1,1,3,1.48791934955473,2.56737586114375,1.11688403253622,1.14136314845631,0.496805528673018,-0.77712910476387,0.386183348656669,0.5,0,0.5,0,0
"260",260,260,2,-0.202601157491407,1,1,3,1.14895058203432,-1.20235848910932,-1.15864146216614,-0.797303570307237,1.51256003424044,0.234050616949749,-0.838209265028875,0.5,0,0.5,0,0
"261",261,261,1,-0.66397754571583,1,2,3,0.471013046993512,-1.20235848910932,0.436572286697367,0.899029808610863,-1.78864210885367,-0.524334174335461,0.923923347910436,0.625,1,0.125,0,0
"262",262,262,2,-0.96057665243153,1,1,3,1.48791934955473,-0.180595474983488,-0.493969066806349,0.172029789074535,-0.265010350502546,1.49802526909176,0.60127934835817,0.375,0,0.5,0,1
"263",263,263,1,-0.729888458319319,1,1,2,-0.449045036276148,-0.607681602581058,0.303637807625409,0.0335535948771397,-0.772887603286251,0.73964047780655,0.386183348656669,0.625,1,0.625,1,0
"264",264,264,1,-0.334422982698385,1,1,3,-0.449045036276148,-1.0563923442342,-0.0951656295904701,-0.0703035507709081,-0.0110717241106864,-1.02992403519228,-0.999034889421081,0.625,1,0.5,0,0
"265",265,265,1,-0.00486841968093949,1,2,4,0.471013046993512,-0.180595474983488,-0.290657510578646,-0.0703035507709081,-0.0110717241106864,0.486845547378142,1.50716442402415,1,1,0.8,1,0
"266",266,266,2,-0.532155720508852,1,1,3,0.471013046993512,-0.708319229531994,-1.15864146216614,-0.554970230461794,-0.0110717241106864,1.49802526909176,0.157643848973802,0.625,1,0.625,1,0
"267",267,267,1,-0.828754827224552,1,1,4,0.809981814513917,-0.726616979886711,-0.572165819201618,-0.0703035507709081,-0.0110717241106864,-1.28271896562067,0.386183348656669,0.5,0,0.5,0,0
"268",268,268,2,-0.861710283526297,1,2,3,0.132044279473106,2.44679513276867,0.553867415290274,-0.0703035507709081,1.7664986606323,1.49802526909176,0.157643848973802,0.75,1,0.5,0,0
"269",269,269,2,-0.565111176810596,1,1,2,0.325740718056191,-0.845552357192363,-0.493969066806349,1.62602982814719,1.7664986606323,-0.0187443134786599,0.0463316691282705,0.875,1,0.5,0,0
"270",270,270,2,0.159908861827783,1,2,3,0.809981814513917,1.29528443430938,-0.00914920195567213,1.62602982814719,1.25862140784858,1.24523033866335,1.35411534731347,0.625,1,0.375,0,0
"271",271,271,1,1.24743891978535,1,2,4,0.471013046993512,-0.131940093358449,-0.493969066806349,-0.797303570307237,-0.518948976894391,-0.271539243907068,0.278635348805904,0.75,1,0.625,1,0
"272",272,272,2,-0.696933002017574,1,2,3,0.471013046993512,0.695201394267227,1.82065480409364,-0.0703035507709081,1.7664986606323,1.49802526909176,0.502004271572868,0.5,0,0.5,0,0
"273",273,273,1,0.489463424845228,1,2,4,0.132044279473106,0.473078999892047,0.386721857045383,-0.312636890616351,-0.518948976894391,0.73964047780655,-0.568305150018803,0.5,0,0.625,1,1
